route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
S74,CH_B1-Sunday,CH_B1-Sunday-039000_S7484_702,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-003700_S7484_702,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-009700_S7484_704,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-015700_S7484_702,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-021700_S7484_704,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-026700_S7484_705,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-052500_S7484_705,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-055500_S7484_702,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-042700_S7484_703,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-061000_S7484_705,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-055500_S7484_709,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-070000_S7484_708,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-018000_S7484_701,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-032700_S7484_702,ST GEORGE FERRY,0,S740503
S74,CH_B1-Sunday,CH_B1-Sunday-094500_S7484_713,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-076500_MISC_813,BRICKTOWN MALL via AR KILL RD,1,S740504
S74,CH_B1-Sunday,CH_B1-Sunday-127500_MISC_889,ST GEORGE FERRY,0,S740503
SIM35,MA_B1-Weekday,MA_B1-Weekday-048400_MISC_659,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-038800_MISC_666,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-041200_SIM35_602,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-042400_SIM35_603,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-095000_SIM35_603,PORT RICHMOND via CLOVE RD,1,SIM350124
SIM35,MA_B1-Weekday,MA_B1-Weekday-108500_SIM35_603,PORT RICHMOND via CLOVE RD,1,SIM350124
SIM35,MA_B1-Weekday,MA_B1-Weekday-105000_SIM35_602,PORT RICHMOND via CLOVE RD,1,SIM350124
SIM35,MA_B1-Weekday,MA_B1-Weekday-036000_MISC_659,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-103500_SIM35_601,PORT RICHMOND via CLOVE RD,1,SIM350124
SIM35,MA_B1-Weekday,MA_B1-Weekday-040000_SIM35_601,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-034500_MISC_656,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-092000_SIM35_602,PORT RICHMOND via CLOVE RD,1,SIM350124
SIM35,MA_B1-Weekday,MA_B1-Weekday-047200_MISC_656,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
SIM35,MA_B1-Weekday,MA_B1-Weekday-054000_SIM35_601,DOWNTOWN FRANKFORT ST via WATER ST,0,SIM350137
