"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"10","C0F43128","GO701_21_1607","Penn Station","1607","1","034C401F"
"10","C0F43128","GO701_21_1608","Huntington","1608","0","034C401F"
"10","C0F43128","GO701_21_1609","Penn Station","1609","1","034C401F"
"12","C0F43128","GO701_21_1610","Jamaica","1610","0","436E0248"
"10","C0F43128","GO701_21_1611","Penn Station","1611","1","034C401F"
"10","C0F43128","GO701_21_1612","Huntington","1612","0","034C401F"
"10","C0F43128","GO701_21_1614","Huntington","1614","0","034C401F"
"10","C0F43128","GO701_21_1615","Penn Station","1615","1","034C401F"
"10","C0F43128","GO701_21_1616","Huntington","1616","0","034C401F"
"10","C0F43128","GO701_21_1617","Penn Station","1617","1","034C401F"
"10","C0F43128","GO701_21_1618","Huntington","1618","0","034C401F"
"10","C0F43128","GO701_21_1619","Atlantic Terminal","1619","1","10C6CB1A"
"10","C0F43128","GO701_21_1620","Huntington","1620","0","034C401F"
"10","C0F43128","GO701_21_1622","Huntington","1622","0","034C401F"
"10","C0F43128","GO701_21_1623","Penn Station","1623","1","034C401F"
"10","C0F43128","GO701_21_1625","Atlantic Terminal","1625","1","10C6CB1A"
"10","C0F43128","GO701_21_1629","Penn Station","1629","1","034C401F"
"10","C0F43128","GO701_21_1631","Penn Station","1631","1","034C401F"
"10","C0F43128","GO701_21_1633","Penn Station","1633","1","034C401F"
"10","C0F43128","GO701_21_1635","Penn Station","1635","1","034C401F"
"10","C0F43128","GO701_21_1637","Penn Station","1637","1","034C401F"
"10","C0F43128","GO701_21_1641","Penn Station","1641","1","034C401F"
"10","C0F43128","GO701_21_1701","Penn Station","1701","1","034C401F"
"10","C0F43128","GO701_21_1702","Huntington","1702","0","034C401F"
"10","C0F43128","GO701_21_1705","Penn Station","1705","1","034C401F"
"10","C0F43128","GO701_21_1706","Huntington","1706","0","034C401F"
"10","C0F43128","GO701_21_1707","Penn Station","1707","1","034C401F"
"10","C0F43128","GO701_21_1709","Penn Station","1709","1","034C401F"
"10","C0F43128","GO701_21_1712","Huntington","1712","0","034C401F"
"10","C0F43128","GO701_21_1713","Penn Station","1713","1","034C401F"
"10","C0F43128","GO701_21_1715","Penn Station","1715","1","034C401F"
"10","C0F43128","GO701_21_1716","Huntington","1716","0","034C401F"
"10","C0F43128","GO701_21_1717","Penn Station","1717","1","034C401F"
"10","C0F43128","GO701_21_1718","Huntington","1718","0","034C401F"
"10","C0F43128","GO701_21_1719","Penn Station","1719","1","034C401F"
"10","C0F43128","GO701_21_1721","Penn Station","1721","1","034C401F"
"10","C0F43128","GO701_21_1722","Huntington","1722","0","034C401F"
"10","C0F43128","GO701_21_1723","Penn Station","1723","1","034C401F"
"10","C0F43128","GO701_21_1725","Penn Station","1725","1","034C401F"
"10","C0F43128","GO701_21_1726","Huntington","1726","0","034C401F"
"10","C0F43128","GO701_21_1727","Penn Station","1727","1","034C401F"
"10","C0F43128","GO701_21_1728","Huntington","1728","0","10C6CB1A"
"10","C0F43128","GO701_21_1729","Penn Station","1729","1","034C401F"
"10","C0F43128","GO701_21_1732","Huntington","1732","0","034C401F"
"10","C0F43128","GO701_21_1736","Huntington","1736","0","034C401F"
"10","C0F43128","GO701_21_1738","Huntington","1738","0","034C401F"
"10","C0F43128","GO701_21_1740","Huntington","1740","0","034C401F"
"10","C0F43128","GO701_21_1742","Huntington","1742","0","034C401F"
"10","C0F43128","GO701_21_1744","Huntington","1744","0","034C401F"
"10","C0F43128","GO701_21_1746","Huntington","1746","0","034C401F"
"10","C0F43128","GO701_21_1750","Huntington","1750","0","034C401F"
"10","C0F43128","GO701_21_1752","Huntington","1752","0","034C401F"
"10","C0F43128","GO701_21_1754","Huntington","1754","0","034C401F"
"4","C0F43128","GO701_21_2000","Ronkonkoma","2000","0","A119BF5D"
"4","C0F43128","GO701_21_2001","Penn Station","2001","1","A119BF5D"
"4","C0F43128","GO701_21_2002","Ronkonkoma","2002","0","A119BF5D"
"4","C0F43128","GO701_21_2003","Penn Station","2003","1","A119BF5D"
"4","C0F43128","GO701_21_2004","Ronkonkoma","2004","0","A119BF5D"
"4","C0F43128","GO701_21_2005","Penn Station","2005","1","A119BF5D"
"4","C0F43128","GO701_21_2006","Ronkonkoma","2006","0","A119BF5D"
"4","C0F43128","GO701_21_2007","Penn Station","2007","1","A119BF5D"
"4","C0F43128","GO701_21_2008","Ronkonkoma","2008","0","A119BF5D"
"4","C0F43128","GO701_21_2009","Penn Station","2009","1","A119BF5D"
"4","DA5C6322","GO701_21_2010","Ronkonkoma","2010","0","A119BF5D"
"4","ED705325","GO701_21_2010_1","Ronkonkoma","2010","0","A119BF5D"
"4","C0F43128","GO701_21_2011","Penn Station","2011","1","A119BF5D"
"4","C0F43128","GO701_21_2012","Ronkonkoma","2012","0","A119BF5D"
"4","C0F43128","GO701_21_2014","Ronkonkoma","2014","0","A119BF5D"
"4","C0F43128","GO701_21_2015","Penn Station","2015","1","A119BF5D"
"4","C0F43128","GO701_21_2016","Ronkonkoma","2016","0","A119BF5D"
"4","C0F43128","GO701_21_2017","Penn Station","2017","1","A119BF5D"
"4","C0F43128","GO701_21_2018","Ronkonkoma","2018","0","A119BF5D"
"4","C0F43128","GO701_21_2021","Penn Station","2021","1","A119BF5D"
